Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
19.952.623.149.688.800;9.556.531.700.684.860
223.872.113.856.834;7.707.011.105.038.470
25.118.864.315.095.800;7.959.583.598.749.290
2.818.382.931.264.450;6.373.824.173.272.780
31.622.776.601.683.700;10.883.993.667.065.000
35.481.338.923.357.500;38.547.195.214.164.700
3.981.071.705.534.970;8.985.152.002.599.130
4.466.835.921.509.630;12.336.199.751.332.800
50.118.723.362.727.200;11.425.689.621.966.900
562.341.325.190.349;8.916.407.999.144.760
6.309.573.444.801.930;7.892.996.305.300.670
707.945.784.384.138;26.895.382.698.837.100
7.943.282.347.242.820;12.107.315.402.798.100
8.912.509.381.337.450;11.242.279.572.936.400
1000.0 ;3.722.662
1.122.018.454.301.960;10.940.465.252.084.400
12.589.254.117.941.600;12.540.295.656.479.400
14.125.375.446.227.500;8.910.668.999.853.100
1.584.893.192.461.110;17.015.058.215.770.400
17.782.794.100.389.200;13.041.568.648.036.700
1.995.262.314.968.880;12.684.619.270.913.100
223.872.113.856.834;2.491.461.136.134.790
2.511.886.431.509.580;24.063.908.174.677.300
2.818.382.931.264.450;2.326.023.977.461.490
31.622.776.601.683.700;22.498.146.458.381.800
35.481.338.923.357.500;21.778.852.332.408.500
39.810.717.055.349.700;21.094.666.704.883.600
4.466.835.921.509.630;2.044.792.028.494.840
5.011.872.336.272.720;1.983.407.758.960.360
5.623.413.251.903.490;19.254.440.081.349.800
6.309.573.444.801.930;1.870.170.126.078.790
7.079.457.843.841.380;18.178.896.031.573.600
7.943.282.347.242.820;1.768.033.117.055.010
8.912.509.381.337.450;1.720.680.831.753.070
10000.0 ;16.754
1.122.018.454.301.960;16.324.853.726.557.800
12.589.254.117.941.600;1.591.272.287.991.980
14.125.375.446.227.500;15.520.414.398.260.100
1.584.893.192.461.110;1.514.357.322.775.620
17.782.794.100.389.200;14.782.445.444.231.100
1.995.262.314.968.870;14.434.248.658.097.600
22.387.211.385.683.400;14.098.828.026.132.000
25.118.864.315.095.800;13.775.162.653.969.600
2.818.382.931.264.450;13.460.720.044.611.400
31.622.776.601.683.700;1.315.631.320.026.440
3.548.133.892.335.750;12.858.824.936.441.600
3.981.071.705.534.970;12.568.114.108.457.600
44.668.359.215.096.300;122.832.402.431.697
5.011.872.336.272.720;12.003.396.257.279.200
5.623.413.251.903.490;11.727.179.128.185.300
6.309.573.444.801.940;11.452.838.678.533.600
7.079.457.843.841.380;11.180.778.911.532.300
7.943.282.347.242.820;1.090.953.091.085.220
891.250.938.133.746;10.639.797.448.276.200
100000.0 ;10.307
11.220.184.543.019.600;9.991.103.460.482.100
12.589.254.117.941.600;973.147.724.229.873
14.125.375.446.227.500;9.460.711.549.587.540
1.584.893.192.461.110;9.177.019.823.986.820
17.782.794.100.389.200;8.879.798.090.841.220
1.995.262.314.968.880;856.644.325.164.232
22.387.211.385.683.400;8.251.427.884.115.210
2.511.886.431.509.580;7.934.057.745.421.720
2.818.382.931.264.450;7.625.862.046.741.380
3.162.277.660.168.370;7.340.968.978.272.030
354.813.389.233.576;7.068.679.588.085.530
39.810.717.055.349.700;6.800.367.693.734.360
4.466.835.921.509.630;6.557.552.776.688.230
5.011.872.336.272.720;63.133.829.803.383.800
5.623.413.251.903.490;6.119.780.819.543.160
6.309.573.444.801.940;5.990.046.684.685.010
7.079.457.843.841.380;5.891.355.090.422.510
7.943.282.347.242.820;5.819.310.087.868.320
8.912.509.381.337.450;5.770.169.965.100.840
1000000.0 ;5.755
11.220.184.543.019.600;5.772.372.502.849.670
12.589.254.117.941.600;582.281.972.236.885
14.125.375.446.227.500;5.923.050.082.167.370
15.848.931.924.611.100;61.263.943.145.169.500
1.778.279.410.038.920;6.377.865.615.586.470
19.952.623.149.688.800;6.629.640.659.124.130
2.238.721.138.568.340;68.769.360.072.784.600
25.118.864.315.095.800;7.112.391.820.645.760
2.818.382.931.264.450;7.289.718.873.431.140
31.622.776.601.683.700;7.382.517.027.096.260
35.481.338.923.357.600;7.356.537.969.969.080
39.810.717.055.349.700;7.228.041.730.708.080
4.466.835.921.509.630;698.207.058.758.386
5.011.872.336.272.720;6.646.155.823.270.830
5.623.413.251.903.490;6.246.874.240.814.610
6.309.573.444.801.940;5.849.361.151.464.980
7.079.457.843.841.380;54.759.985.674.534.800
7.943.282.347.242.820;51.927.145.116.041.700
8.912.509.381.337.450;5.020.069.091.886.530
1.0E7 ;500.209
1,12E+23;5.069.818.701.167.310
1,26E+23;51.711.188.376.712.100
1,41E+23;53.060.823.042.301.000
1,58E+23;54.553.105.754.245.500
1,78E+23;5.568.006.671.992.950
2,00E+22;5.580.109.575.189.310
2,24E+23;54.680.254.610.283.400
2,51E+23;5.241.652.524.427.460
2,82E+22;4.912.320.337.850.120
3,16E+22;4.912.320.337.850.120
3,55E+23;4.912.320.337.850.120
3,98E+23;4.912.320.337.850.120
4,47E+22;4.912.320.337.850.120
5,01E+22;4.912.320.337.850.120
5,62E+22;4.912.320.337.850.120
6,31E+22;4.912.320.337.850.120
7,08E+22;4.912.320.337.850.120
7,94E+22;4.912.320.337.850.120
8,91E+21;4.912.320.337.850.120
1.0E8 ;4.912.320.337.850.120
1,12E+24;4.912.320.337.850.120
1,26E+24;4.912.320.337.850.120
1,41E+24;4.912.320.337.850.120
1.5E8 ;4.912.320.337.850.120
