Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
19.952.623.149.688.800;9.389.747.897.011.550
223.872.113.856.834;75.648.824.042.620.400
25.118.864.315.095.800;75.808.522.943.875.500
2.818.382.931.264.450;5.762.691.569.643.670
31.622.776.601.683.700;10.620.240.495.468.400
35.481.338.923.357.500;8.526.238.277.390.670
3.981.071.705.534.970;8.455.428.372.842.540
4.466.835.921.509.630;11.220.510.397.516.200
50.118.723.362.727.200;11.189.932.258.513.800
562.341.325.190.349;60.268.868.466.101.200
6.309.573.444.801.930;6.575.717.059.570.500
707.945.784.384.138;2.579.696.467.577.140
7.943.282.347.242.820;7.705.551.389.187.180
8.912.509.381.337.450;11.124.170.695.647.900
1000.0 ;356.961
1.122.018.454.301.960;10.421.817.838.856.000
12.589.254.117.941.600;12.305.756.259.180.000
14.125.375.446.227.500;8.722.566.960.405.200
1.584.893.192.461.110;1.663.042.432.918.500
17.782.794.100.389.200;12.903.696.083.517.600
1.995.262.314.968.880;1.254.926.606.921.210
223.872.113.856.834;2.154.532.482.715.330
2.511.886.431.509.580;209.855.197.648.278
2.818.382.931.264.450;2.037.349.399.589.750
31.622.776.601.683.700;19.738.471.058.716.800
35.481.338.923.357.500;19.220.865.452.838.300
39.810.717.055.349.700;18.705.843.620.464.100
4.466.835.921.509.630;18.194.537.366.745.200
5.011.872.336.272.720;17.858.601.813.050.800
5.623.413.251.903.490;17.386.373.918.117.100
6.309.573.444.801.930;16.925.082.200.466.700
7.079.457.843.841.380;16.520.986.957.539.800
7.943.282.347.242.820;1.622.708.855.165.550
8.912.509.381.337.450;1.596.029.574.999.700
10000.0 ;156.235
1.122.018.454.301.960;15.242.468.353.902.000
12.589.254.117.941.600;14.891.994.263.513.400
14.125.375.446.227.500;14.581.650.445.067.800
1.584.893.192.461.110;14.279.799.075.515.100
17.782.794.100.389.200;13.987.139.370.133.900
1.995.262.314.968.870;13.722.477.711.432.900
22.387.211.385.683.400;13.434.824.118.792.800
25.118.864.315.095.800;13.147.314.680.145.900
2.818.382.931.264.450;12.857.102.807.128.000
31.622.776.601.683.700;12.584.647.979.328.500
3.548.133.892.335.750;1.232.601.400.097.950
3.981.071.705.534.970;1.207.168.691.505.490
44.668.359.215.096.300;11.820.934.882.726.500
5.011.872.336.272.720;11.562.649.943.950.000
5.623.413.251.903.490;11.306.918.845.881.600
6.309.573.444.801.940;11.055.153.540.633.500
7.079.457.843.841.380;10.802.629.173.851.500
7.943.282.347.242.820;10.496.768.597.069.500
891.250.938.133.746;10.198.596.262.900.900
100000.0 ;9.849.632
11.220.184.543.019.600;9.535.409.570.068.040
12.589.254.117.941.600;9.264.548.818.720.210
14.125.375.446.227.500;8.983.017.182.963.270
1.584.893.192.461.110;8.691.398.294.528.250
17.782.794.100.389.200;8.387.643.117.366.000
1.995.262.314.968.880;8.067.320.560.402.500
22.387.211.385.683.400;7.746.871.210.895.920
2.511.886.431.509.580;7.428.276.991.151.980
2.818.382.931.264.450;7.044.776.084.174.520
3.162.277.660.168.370;6.565.159.015.477.180
354.813.389.233.576;6.181.491.897.754.050
39.810.717.055.349.700;5.784.129.723.313.540
4.466.835.921.509.630;5.460.651.019.387.520
5.011.872.336.272.720;5.120.279.214.546.300
5.623.413.251.903.490;479.944.086.768.366
6.309.573.444.801.940;4.538.214.661.769.720
7.079.457.843.841.380;433.508.861.212.999
7.943.282.347.242.820;4.164.863.960.808.110
8.912.509.381.337.450;4.039.570.953.969.670
1000000.0 ;3.945.003
11.220.184.543.019.600;3.897.881.991.269.660
12.589.254.117.941.600;38.878.771.869.792.600
14.125.375.446.227.500;39.494.819.178.983.500
15.848.931.924.611.100;4.079.375.753.910.060
1.778.279.410.038.920;4.220.907.535.268.670
19.952.623.149.688.800;4.329.152.324.175.090
2.238.721.138.568.340;4.471.774.518.251.970
25.118.864.315.095.800;4.582.488.182.229.400
2.818.382.931.264.450;4.678.883.420.284.650
31.622.776.601.683.700;46.950.514.684.593.200
35.481.338.923.357.600;4.608.537.581.837.990
39.810.717.055.349.700;4.459.253.074.973.320
4.466.835.921.509.630;4.211.764.784.723.660
5.011.872.336.272.720;3.878.312.484.140.030
5.623.413.251.903.490;3.553.261.061.816.430
6.309.573.444.801.940;32.699.657.175.605.200
7.079.457.843.841.380;29.570.450.506.421.100
7.943.282.347.242.820;26.789.069.115.396.300
8.912.509.381.337.450;24.717.454.655.112.700
1.0E7 ;2.437.635
1,12E+23;24.626.073.715.601.000
1,26E+23;25.358.058.971.376.100
1,41E+23;26.371.883.661.808.800
1,58E+23;27.710.506.144.326.000
1,78E+23;28.494.857.649.690.600
2,00E+22;28.395.137.543.228.800
2,24E+23;2.736.040.941.066.310
2,51E+23;25.157.807.876.924.000
2,82E+22;22.115.122.063.676.200
3,16E+22;22.115.122.063.676.200
3,55E+23;22.115.122.063.676.200
3,98E+23;22.115.122.063.676.200
4,47E+22;22.115.122.063.676.200
5,01E+22;22.115.122.063.676.200
5,62E+22;22.115.122.063.676.200
6,31E+22;22.115.122.063.676.200
7,08E+22;22.115.122.063.676.200
7,94E+22;22.115.122.063.676.200
8,91E+21;22.115.122.063.676.200
1.0E8 ;22.115.122.063.676.200
1,12E+24;22.115.122.063.676.200
1,26E+24;22.115.122.063.676.200
1,41E+24;22.115.122.063.676.200
1.5E8 ;22.115.122.063.676.200
