Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 36710.25
1.0115794542598983E-5 ; 36507.18342653502
1.0232929922807536E-5 ; 36301.76545297088
1.0351421666793431E-5 ; 36093.96885137769
1.0471285480508985E-5 ; 35883.766078541004
1.0592537251772876E-5 ; 35671.129272310936
1.071519305237607E-5 ; 35469.400465993356
1.0839269140212039E-5 ; 35270.203751537985
1.0964781961431852E-5 ; 35068.70044783885
1.109174815262401E-5 ; 34864.863845851316
1.122018454301963E-5 ; 34658.66692725457
1.1350108156723144E-5 ; 34462.9458585767
1.1481536214968817E-5 ; 34268.8339765191
1.1614486138403414E-5 ; 34072.47438480191
1.1748975549395302E-5 ; 33873.84105617391
1.188502227437019E-5 ; 33674.032081008736
1.2022644346174132E-5 ; 33486.21208327016
1.216186000646368E-5 ; 33296.217232458686
1.230268770812381E-5 ; 33104.022344962614
1.2445146117713844E-5 ; 32909.6019455578
1.2589254117941661E-5 ; 32725.635766228115
1.2735030810166604E-5 ; 32547.438337652336
1.2882495516931348E-5 ; 32367.177480103117
1.3031667784523E-5 ; 32184.829300199082
1.3182567385564074E-5 ; 32000.369627886474
1.333521432163324E-5 ; 31813.77401323553
1.3489628825916533E-5 ; 31625.01772319963
1.3645831365889238E-5 ; 31434.075738337
1.3803842646028839E-5 ; 31249.33167858055
1.3963683610559363E-5 ; 31078.905406014957
1.4125375446227526E-5 ; 30906.5056902215
1.4288939585111037E-5 ; 30732.109679804573
1.445439770745928E-5 ; 30555.694258761938
1.4621771744567184E-5 ; 30377.2360434206
1.4791083881682072E-5 ; 30196.711379337412
1.4962356560944327E-5 ; 30014.096338163694
1.5135612484362071E-5 ; 29846.389878410537
1.5310874616820287E-5 ; 29681.52149145562
1.5488166189124797E-5 ; 29514.74401855506
1.5667510701081502E-5 ; 29346.035353535437
1.584893192461114E-5 ; 29175.373134245994
1.6032453906900417E-5 ; 29002.7347395944
1.62181009735893E-5 ; 28828.09728654844
1.6405897731995387E-5 ; 28667.445206224154
1.6595869074375598E-5 ; 28508.246181768056
1.6788040181225588E-5 ; 28347.20371949006
1.6982436524617425E-5 ; 28184.296473386203
1.7179083871575893E-5 ; 28019.50285027745
1.7378008287493764E-5 ; 27852.801006947622
1.757923613958693E-5 ; 27690.925471342773
1.778279410038923E-5 ; 27537.69843769661
1.7988709151287874E-5 ; 27382.69711862296
1.8197008586099827E-5 ; 27225.900968864873
1.8407720014689545E-5 ; 27067.289205262532
1.8620871366628657E-5 ; 26906.84080399848
1.8836490894897984E-5 ; 26750.737624792993
1.9054607179632484E-5 ; 26602.19520009796
1.9275249131909368E-5 ; 26451.93273519055
