Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 92.75807
1.0046157902783946E-5 ; 92.5565313029693
1.0092528860766835E-5 ; 92.3540623455801
1.01391138573668E-5 ; 92.15065883394563
1.018591388054117E-5 ; 91.94631645435966
1.0232929922807536E-5 ; 91.74103087320452
1.0280162981264725E-5 ; 91.53479773685962
1.032761405761398E-5 ; 91.32761267160878
1.0375284158180127E-5 ; 91.11947128354801
1.0423174293933036E-5 ; 90.91036915849172
1.0471285480508985E-5 ; 90.70030186187938
1.0519618738232235E-5 ; 90.48926493868144
1.0568175092136585E-5 ; 90.27725391330513
1.0616955571987242E-5 ; 90.06426428949898
1.0665961212302568E-5 ; 89.86548521081481
1.071519305237607E-5 ; 89.66878628625875
1.076465213629835E-5 ; 89.47117944071903
1.0814339512979376E-5 ; 89.27266048342273
1.0864256236170644E-5 ; 89.07322520425325
1.091440336448757E-5 ; 88.87286937366093
1.0964781961431852E-5 ; 88.67158874257365
1.1015393095414145E-5 ; 88.46937904230613
1.1066237839776654E-5 ; 88.26623598446994
1.111731727281592E-5 ; 88.0621552608822
1.1168632477805611E-5 ; 87.85713254347458
1.122018454301963E-5 ; 87.65116348420108
1.1271974561755094E-5 ; 87.45130616329776
1.1324003632355578E-5 ; 87.26015302284183
1.1376272858234309E-5 ; 87.06811755957861
1.1428783347897712E-5 ; 86.87519570089094
1.1481536214968817E-5 ; 86.68138335536344
1.153453257821093E-5 ; 86.48667641269556
1.1587773561551262E-5 ; 86.29107074361464
1.1641260294104908E-5 ; 86.09456219978799
1.16949939101987E-5 ; 85.8971466137351
1.1748975549395302E-5 ; 85.69881979873925
1.1803206356517298E-5 ; 85.49957754875886
1.1857687481671597E-5 ; 85.29941563833798
1.1912420080273739E-5 ; 85.10883199256617
1.1967405313072443E-5 ; 84.92224994228752
1.2022644346174132E-5 ; 84.73480666839517
1.2078138351067799E-5 ; 84.54649819566143
1.2133888504649761E-5 ; 84.35732053050992
1.2189895989248674E-5 ; 84.1672696609306
1.2246161992650489E-5 ; 83.9763415563952
1.230268770812381E-5 ; 83.78453216777098
1.2359474334445094E-5 ; 83.59183742723546
1.241652307592412E-5 ; 83.39825324818977
1.2473835142429432E-5 ; 83.2037755251725
1.2531411749414155E-5 ; 83.01958171138742
1.2589254117941661E-5 ; 82.84389454039461
1.2647363474711522E-5 ; 82.66739643426583
1.270574105208542E-5 ; 82.49008364989467
1.2764388088113434E-5 ; 82.3119524268972
1.2823305826560205E-5 ; 82.13299898753233
1.2882495516931348E-5 ; 81.95321953662167
1.2941958414499863E-5 ; 81.77261026146934
1.30016957803329E-5 ; 81.59116733178055
