Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 169.7658
1.0232929922807536E-5 ; 167.9001617590684
1.0471285480508985E-5 ; 165.99106722099214
1.071519305237607E-5 ; 164.09880657241598
1.0964781961431852E-5 ; 162.26937977037528
1.122018454301963E-5 ; 160.39734014395643
1.1481536214968817E-5 ; 158.6180977279326
1.1748975549395302E-5 ; 156.81538545272406
1.2022644346174132E-5 ; 155.04663086607678
1.230268770812381E-5 ; 153.3030136841712
1.2589254117941661E-5 ; 151.57701182725205
1.2882495516931348E-5 ; 149.94253118790738
1.3182567385564074E-5 ; 148.26997860364753
1.3489628825916533E-5 ; 146.5584672649534
1.3803842646028839E-5 ; 144.84562381076856
1.4125375446227526E-5 ; 143.28356602215527
1.445439770745928E-5 ; 141.68512323352962
1.4791083881682072E-5 ; 140.04944792936746
1.5135612484362071E-5 ; 138.4536663049779
1.5488166189124797E-5 ; 136.94366468533093
1.584893192461114E-5 ; 135.3984906096135
1.62181009735893E-5 ; 133.8173248060781
1.6595869074375598E-5 ; 132.36194272369477
1.6982436524617425E-5 ; 130.8880074240167
1.7378008287493764E-5 ; 129.37973976078078
1.778279410038923E-5 ; 127.94676547082788
1.8197008586099827E-5 ; 126.52915781493195
1.8620871366628657E-5 ; 125.07852983485009
1.9054607179632484E-5 ; 123.69412101764273
1.9498445997580456E-5 ; 122.32084820780625
1.9952623149688786E-5 ; 120.91558776501093
2.0417379446695274E-5 ; 119.61972621581707
2.089296130854041E-5 ; 118.31018936540626
2.1379620895022323E-5 ; 116.9701494832476
2.187761623949552E-5 ; 115.59977372360068
2.238721138568338E-5 ; 114.36753189250673
2.290867652767775E-5 ; 113.106587461953
2.344228815319923E-5 ; 111.81627186251201
2.39883291901949E-5 ; 110.56090444396854
2.4547089156850286E-5 ; 109.36217806217051
2.511886431509577E-5 ; 108.13552975601453
2.5703957827688645E-5 ; 106.8981009708378
2.6302679918953814E-5 ; 105.74855455560868
2.691534803926914E-5 ; 104.57223176460326
2.7542287033381633E-5 ; 103.37648592188438
2.818382931264455E-5 ; 102.26574528125975
2.8840315031266056E-5 ; 101.12913216746719
2.951209226666384E-5 ; 99.98796187920372
3.019951720402013E-5 ; 98.90768550551391
3.090295432513592E-5 ; 97.80224626259056
3.1622776601683795E-5 ; 96.72206977616037
3.235936569296281E-5 ; 95.66532960224784
3.3113112148259076E-5 ; 94.58397478762159
3.3884415613920276E-5 ; 93.5671969343191
3.467368504525317E-5 ; 92.52817318885371
3.5481338923357534E-5 ; 91.53622157193553
3.63078054770101E-5 ; 90.57060890539921
3.715352290971728E-5 ; 89.58250423047497
