Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 9.293169E-4
1.0115794542598983E-5 ; 9.241761966495366E-4
1.0232929922807536E-5 ; 9.189759667597625E-4
1.0351421666793431E-5 ; 9.13715521045839E-4
1.0471285480508985E-5 ; 9.083941622413845E-4
1.0592537251772876E-5 ; 9.030111850060531E-4
1.071519305237607E-5 ; 8.979043667498874E-4
1.0839269140212039E-5 ; 8.928616564619712E-4
1.0964781961431852E-5 ; 8.877605543409298E-4
1.109174815262401E-5 ; 8.82600384241203E-4
1.122018454301963E-5 ; 8.773804621878328E-4
1.1350108156723144E-5 ; 8.724256800460794E-4
1.1481536214968817E-5 ; 8.675116164910075E-4
1.1614486138403414E-5 ; 8.625406507617695E-4
1.1748975549395302E-5 ; 8.575121239622415E-4
1.188502227437019E-5 ; 8.524538376365475E-4
1.2022644346174132E-5 ; 8.476990941436131E-4
1.216186000646368E-5 ; 8.428892933158846E-4
1.230268770812381E-5 ; 8.380237976194721E-4
1.2445146117713844E-5 ; 8.331019621381914E-4
1.2589254117941661E-5 ; 8.28444770627495E-4
1.2735030810166604E-5 ; 8.239336117584436E-4
1.2882495516931348E-5 ; 8.193702161316079E-4
1.3031667784523E-5 ; 8.147539788738423E-4
1.3182567385564074E-5 ; 8.100842881078974E-4
1.333521432163324E-5 ; 8.053605248713206E-4
1.3489628825916533E-5 ; 8.005820630344112E-4
1.3645831365889238E-5 ; 7.957482692172288E-4
1.3803842646028839E-5 ; 7.910713836058012E-4
1.3963683610559363E-5 ; 7.867569690784706E-4
1.4125375446227526E-5 ; 7.823925959854623E-4
1.4288939585111037E-5 ; 7.779776858338498E-4
1.445439770745928E-5 ; 7.735116534320756E-4
1.4621771744567184E-5 ; 7.689939068123822E-4
1.4791083881682072E-5 ; 7.644238471523481E-4
1.4962356560944327E-5 ; 7.598008686955156E-4
1.5135612484362071E-5 ; 7.555552917504054E-4
1.5310874616820287E-5 ; 7.513815572651336E-4
1.5488166189124797E-5 ; 7.471594932122967E-4
1.5667510701081502E-5 ; 7.428885399618769E-4
1.584893192461114E-5 ; 7.385681314036484E-4
1.6032453906900417E-5 ; 7.341976948721359E-4
1.62181009735893E-5 ; 7.297766510707108E-4
1.6405897731995387E-5 ; 7.257096732670829E-4
1.6595869074375598E-5 ; 7.216794844304625E-4
1.6788040181225588E-5 ; 7.176026282065498E-4
1.6982436524617425E-5 ; 7.134785642124681E-4
1.7179083871575893E-5 ; 7.093067458080013E-4
1.7378008287493764E-5 ; 7.050866200231402E-4
1.757923613958693E-5 ; 7.009886507684667E-4
1.778279410038923E-5 ; 6.971095851288707E-4
